parabolique
t;x;y
(s);(m);(m)
0,000;0,00E+0;1,07E+0
0,040;9,41E-2;1,27E+0
0,080;1,83E-1;1,45E+0
0,120;2,71E-1;1,62E+0
0,160;3,60E-1;1,76E+0
0,200;4,54E-1;1,89E+0
0,240;5,37E-1;2,00E+0
0,280;6,37E-1;2,11E+0
0,320;7,14E-1;2,18E+0
0,360;8,03E-1;2,24E+0
0,400;8,91E-1;2,29E+0
0,440;9,69E-1;2,33E+0
0,480;1,06E+0;2,35E+0
0,520;1,14E+0;2,35E+0
0,560;1,22E+0;2,34E+0
0,600;1,31E+0;2,30E+0
0,640;1,39E+0;2,25E+0
0,680;1,47E+0;2,19E+0
0,720;1,55E+0;2,11E+0
0,760;1,63E+0;2,01E+0
0,800;1,72E+0;1,89E+0
0,840;1,80E+0;1,77E+0
0,880;1,89E+0;1,61E+0
0,920;1,96E+0;1,45E+0
0,960;2,05E+0;1,27E+0
1,000;2,13E+0;1,06E+0
1,040;2,21E+0;8,52E-1
1,080;2,30E+0;6,09E-1
1,120;2,37E+0;3,65E-1
