rectiligne		
t;x;y
(s);(m);(m)
0,08;-0,038704533;0,000789888
0,16;-0,038704533;0,000789888
0,24;-0,038704533;0,000789888
0,32;-0,041864087;0,000789888
0,4;-0,04502364;0,000789888
0,48;-0,052922525;0,000789888
0,56;-0,067140517;0,000789888
0,64;-0,084518062;0,000789888
0,72;-0,105055161;0,000789888
0,8;-0,130331591;0,000789888
0,88;-0,160347351;0,000789888
0,96;-0,193522665;0,000789888
1,04;-0,23143731;0,002369665
1,12;-0,274091285;0,002369665
1,2;-0,319904814;0,003949442
1,28;-0,370457674;0,003949442
1,36;-0,425749864;0,005529219
1,44;-0,484201607;0,005529219
1,52;-0,545812905;0,007108996
1,6;-0,612163533;0,007108996
1,68;-0,683253492;0,008688773
1,76;-0,683253492;0,008688773
